atlas,system,api_name,type,api_url,called_by,functional
United Kingdom,records,records_facets,data/occurrences-count-groupby,https://records-ws.nbnatlas.org/occurrence/facets,atlas_counts,TRUE
United Kingdom,records,records_species,data/species,https://records-ws.nbnatlas.org/occurrences/facets/download,atlas_species,TRUE
United Kingdom,records,records_facets,data/species-count,https://records-ws.nbnatlas.org/occurrence/facets,atlas_counts,TRUE
United Kingdom,records,records_assertions,metadata/assertions,https://records-ws.nbnatlas.org/assertions/codes,show_all-assertions,TRUE
United Kingdom,collections,collections_collections,metadata/collections,https://registry.nbnatlas.org/ws/collection,show_all-collections,TRUE
United Kingdom,collections,collections_datasets,metadata/datasets,https://registry.nbnatlas.org/ws/dataResource,show_all-datasets,TRUE
United Kingdom,records,records_fields,metadata/fields,https://records-ws.nbnatlas.org/index/fields,show_all-fields,TRUE
United Kingdom,records,records_facets,metadata/fields-unnest,https://records-ws.nbnatlas.org/occurrence/facets,show_values-fields,TRUE
United Kingdom,images,image_licences,metadata/licences,https://images.nbnatlas.org/licence,show_all-licences,TRUE
United Kingdom,lists,lists_all,metadata/lists,https://lists.nbnatlas.org/ws/speciesList,show_all-lists,TRUE
United Kingdom,lists,lists_lookup,metadata/lists-unnest,https://lists.nbnatlas.org/ws/speciesListItems/{list_id},show_values-lists,TRUE
United Kingdom,images,image_metadata,metadata/media,https://images.nbnatlas.org/ws/getImageInfoForIdList,atlas_media,TRUE
United Kingdom,collections,collections_providers,metadata/providers,https://registry.nbnatlas.org/ws/dataProvider,show_all-providers,TRUE
United Kingdom,logger,logger_reasons,metadata/reasons,https://logger.nbnatlas.org/service/logger/reasons,show_all-reasons,TRUE
United Kingdom,species,names_search_single,metadata/taxa-single,https://species-ws.nbnatlas.org/search?q={name}&pageSize=5,search_taxa,TRUE
United Kingdom,species,species_children,metadata/taxa-unnest,https://species-ws.nbnatlas.org/childConcepts/{id},atlas_taxonomy,TRUE
United Kingdom,records,records_query,,https://records-ws.nbnatlas.org/webportal/params,atlas_occurrences,TRUE
